director,movie_count,avg_actual_rating,avg_predicted_rating,avg_error,popularity_score
Krishna,29,6.265517241379311,6.055140704011429,0.9061691736657199,1
McG,25,5.648000000000001,5.74106781704665,0.5664755345722297,8
Bert,23,5.678260869565219,6.001015349175927,0.7662645354171767,3
Jesús Franco,22,4.759090909090909,5.017549599862562,0.6623149626054693,95
Jerry,19,5.942105263157896,5.737964184590219,0.7089115387282501,1
Cheh Chang,16,6.50625,6.32494167534496,0.29662582302253654,67
Kinji Fukasaku,14,6.8928571428571415,6.689361600975603,0.3457450271387454,38
Priyadarshan,14,6.95,6.616806905454468,0.5228348263560136,58
Atif Yilmaz,13,6.73076923076923,6.304761868140484,0.5864401749749133,47
Mario Monicelli,13,6.984615384615385,6.657617811442014,0.5178107063563051,42
Jing Wong,13,5.761538461538462,5.644353293190032,0.3754567929149872,72
Vijay,13,6.446153846153846,6.431336504368114,0.48774580254181904,3
Roger Corman,12,5.066666666666667,5.447573451732449,0.7296040191480029,53
Kostas Karagiannis,12,5.208333333333333,5.87788905388004,0.8268378679573228,39
Pavel,12,6.425,6.385677921154705,0.6262880766863869,3
Carlo Vanzina,12,5.366666666666667,5.207615586291484,0.3772514274778201,53
Kamal,12,6.116666666666666,5.883244884304681,0.5990894404671847,28
Gordon Douglas,12,6.183333333333333,6.1261262304567365,0.29481074001681923,43
Lal,11,6.2727272727272725,6.27597458871605,0.9043966616280024,9
Prakash,11,6.345454545454545,6.1343588440428505,0.5765614690554632,3
Claude Chabrol,11,6.345454545454545,6.564030837674749,0.387729903711314,56
Andrew Lau,11,5.554545454545456,5.888764733082349,0.575066560289323,38
Steven Spiel,11,7.1,6.866263959414912,0.6035524329015844,1
Charles Band,11,4.272727272727273,4.188224044269152,0.6127914791838972,32
Neri Parenti,11,4.809090909090909,5.437195060524076,0.9400049765591263,44
Sidney Lumet,11,6.1909090909090905,6.512122263880922,0.47009472413917774,41
Ishirô Honda,11,6.109090909090909,5.987389593528594,0.6532506134979218,37
Jung,11,6.1,6.136984891914377,0.38381172210357195,1
Michael Winterbottom,11,6.254545454545454,6.402975249827318,0.26249922559045286,26
Anil,11,5.736363636363636,5.692952354255691,0.7022237922681818,3
Herschell Gordon Lewis,10,4.5,5.1907615641550375,0.952714225825607,25
Ram Gopal Varma,10,5.870000000000001,5.751899902692299,0.9564027512352841,46
Andrew V. McLaglen,10,5.659999999999999,6.386986057938721,0.8192830309053127,25
Steven Spielberg,10,7.4799999999999995,7.087604274618593,0.5286215954539325,33
Johnnie To,10,6.51,6.075122840007632,0.47807962992287123,49
Takashi Miike,10,6.43,6.126822040795735,0.4645306429574093,56
Sergio Corbucci,10,6.57,6.245427848252568,0.36592019333905423,44
J. Lee Thompson,10,6.24,6.132287344779537,0.40055074709560945,44
Hark Tsui,9,6.222222222222222,6.232075215792708,0.4628553209056378,40
Anthony Mann,9,6.7555555555555555,6.752868718856838,0.5044323681059226,20
Richard Fleischer,9,6.255555555555556,6.089571421012212,0.37783219068378826,36
David Dhawan,9,4.866666666666667,5.620893034338657,1.0259406624320908,37
Richard Thorpe,9,6.111111111111111,6.336937464216959,0.43450038032784655,27
Hari,9,6.555555555555555,6.285920725257686,0.5899917071954762,13
Siva,9,6.177777777777778,6.078542079903599,0.7392468625343016,8
Ralph Thomas,9,6.066666666666667,6.381450721428673,0.4871934259157288,35
Lucio Fulci,9,5.588888888888889,5.579071384923519,0.27754537759235526,37
Dinos Dimopoulos,8,5.6375,6.136928327047533,0.6006324271397625,30
Francis Ford Coppola,8,6.6125,6.950348754267248,0.47031298170654595,26
Mario Bava,8,5.6875,6.029957570953638,0.6095157362050596,30
Kartal Tibet,8,6.9375,6.8640875867623645,0.5801135036984767,38
Richard Quine,8,6.25,6.3407273047276025,0.27063390229335227,25
Tyler Perry,8,4.5875,5.92891145636429,1.3414114563642898,21
Jim Wynorski,8,3.8499999999999996,4.521440588466829,0.717589573765034,38
Brian De Palma,8,6.4875,6.5158558267656765,0.21258362689591925,30
Michael Anderson,8,5.9,5.986737153430456,0.4371439921052602,32
Woody Allen,8,6.987500000000001,6.560599989510349,0.4648693943469888,49
Antonio Margheriti,8,4.9625,5.482986210304258,0.6123709183699306,43
George Miller,8,6.2375,6.133128720222134,0.37196090997042375,20
Jean-Luc Godard,8,6.5,6.586247247906346,0.4220354954841792,42
Andrey Konchalovskiy,8,6.3125,6.507006391457428,0.5815160450346013,20
Lewis Gilbert,8,6.574999999999999,6.419163373784688,0.29167887436272577,33
Robert Aldrich,8,6.45,6.748778115956759,0.5184038017138445,30
Blake Edwards,8,6.55,6.505368989834331,0.514275550729601,37
Ken Annakin,8,5.7250000000000005,6.003828620599042,0.40690043271743326,27
Giannis Dalianidis,8,5.85,6.203413712552238,0.5305220136234532,58
Sidney J. Furie,8,4.9375,5.477769667326212,0.7064225462355971,39
Edward Bernds,8,5.7,5.364744825152459,0.4409835545476325,19
Ferdinando Baldi,7,5.171428571428572,5.588825692481191,0.567489205944148,18
Fatin Abdulwahhab,7,6.728571428571428,6.388527773344407,0.49411540468156684,13
Dino Risi,7,6.557142857142857,6.097037965373636,0.5215845476214891,42
Giovanni Veronesi,7,5.642857142857143,5.982361079442418,0.5854213693912583,15
Jean-Pierre Mocky,7,6.085714285714286,5.7133081191056565,0.5974094600316343,23
Jack Arnold,7,6.014285714285715,5.803059358447429,0.645710696912002,23
Jacques Deray,7,5.785714285714286,6.139267768934919,0.43242677392192735,20
Fernando Colomo,7,5.528571428571428,5.420683907379067,0.2841230434455779,17
Michael Winner,7,5.871428571428572,6.2195312770360704,0.6466518292293121,28
Samuel Fuller,7,6.414285714285714,6.192442914025613,0.39334859503366243,20
Pasquale Festa Campanile,7,5.728571428571429,5.815148878732522,0.6672273770784729,23
Ken Loach,7,6.957142857142856,6.295709764578225,0.6614330925646327,27
Mauro Bolognini,7,6.485714285714286,6.360469236128592,0.48323805593165964,34
Harald Reinl,7,5.957142857142857,6.013547549945697,0.28123863482250816,29
Akira Kurosawa,7,7.914285714285713,7.845336432415875,0.3833256294360176,19
John Huston,7,6.814285714285714,6.906863622900488,0.4444449662258815,29
Ettore Scola,7,6.828571428571428,6.262527502962245,0.5749481386495053,26
Mervyn LeRoy,7,6.685714285714285,6.632506146385778,0.25616054033490976,18
Lina Wertmüller,7,6.3428571428571425,6.276471572636803,0.313946288288325,21
Sathyan Anthikad,7,7.228571428571429,6.845003955925393,0.5390836357733672,31
Joe D'Amato,7,4.685714285714286,5.380795992262514,0.7381584618497804,42
Umberto Lenzi,7,5.428571428571429,5.538705458312714,0.3022802294208496,42
André De Toth,7,6.642857142857143,6.25834725880866,0.39547196053597794,22
Norman Taurog,7,6.200000000000001,6.285525219152137,0.2199215404677847,27
Georgiy Daneliya,7,7.4571428571428555,6.772949378465455,0.7148037125985777,16
Orhan Aksoy,7,6.371428571428572,6.345257107311974,0.39281358887120277,31
René Cardona,7,4.357142857142857,5.65629962035367,1.3899865888908853,10
David DeCoteau,7,2.8999999999999995,3.641130842400785,1.0955147883248528,44
Robert Altman,7,6.028571428571429,6.22184643633737,0.7426697427560598,36
Lesley Selander,7,5.828571428571429,5.822902725402328,0.3056861172825491,36
Don Siegel,7,6.671428571428572,6.592216404613148,0.19936414415338646,26
Satyajit Ray,7,7.871428571428572,8.261598557269918,0.4128362402965044,28
